,id,Latitude,Longtitude,Day,Date,Time,Width,height
77,432,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,30.99,5.01
78,464,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,15.79,3.08
79,466,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,12.47,1.71
80,478,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,11.5,1.82
81,459,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,13.06,2.16
82,462,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,22.61,7.18
83,484,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,22.61,7.18
84,485,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,12.67,2.39
85,488,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,14.23,2.16
86,499,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,23.97,6.72
87,506,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,53.99,8.77
88,492,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,10.72,4.78
89,512,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,10.72,4.78
90,515,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,15.79,4.44
91,518,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,12.28,4.22
92,519,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,9.16,1.94
93,523,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,14.03,2.62
94,521,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,11.89,2.73
95,527,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,21.25,9.0
96,539,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,21.25,9.0
97,555,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,23.0,2.51
98,557,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,21.44,1.94
99,562,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,27.09,1.94
100,564,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,86.35,15.27
