,id,Latitude,Longtitude,Day,Date,Time
0,3,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
1,18,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
2,22,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
3,27,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
4,0,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
5,37,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
6,43,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
7,45,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
8,50,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
9,52,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
10,56,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
11,55,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
12,49,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
13,23,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
14,62,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
15,77,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
16,88,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
17,102,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
18,103,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
19,112,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
20,115,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
21,118,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
22,122,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
23,123,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
24,114,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
25,127,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
26,129,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
27,137,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
28,138,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
29,139,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
30,97,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
31,147,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
32,151,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
33,172,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
34,166,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
35,177,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
36,180,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
37,194,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
38,195,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
39,184,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
40,199,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
41,202,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
42,205,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
43,211,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
44,170,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
45,217,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
46,221,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
47,241,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
48,250,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
49,251,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
50,261,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
51,229,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
52,272,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
53,274,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
54,275,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
55,280,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
56,290,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
57,289,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
58,303,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
59,299,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
60,307,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
61,320,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
62,322,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
63,328,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
64,350,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
65,356,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
66,355,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
67,359,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
68,360,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
69,362,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
70,376,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
71,383,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
72,386,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
73,392,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
74,398,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
75,399,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
76,411,-6.9222,107.6069,Thursday,"7,9,2023",18:4:28
