,id,Latitude,Longtitude,Day,Date,Time,Width,height
0,3,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,23.97,5.35
1,18,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,12.28,2.16
2,22,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,12.67,3.76
3,27,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.32,5.13
4,0,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,15.4,2.39
5,37,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,26.31,2.51
6,43,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,27.29,2.39
7,45,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,10.14,5.24
8,50,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,15.01,2.85
9,52,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,15.01,2.85
10,56,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,15.01,2.28
11,55,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,17.93,1.94
12,49,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,17.93,1.94
13,23,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.13,1.59
14,62,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.13,1.59
15,77,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.52,2.51
16,88,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,9.75,3.08
17,102,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,50.48,4.33
18,103,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,37.62,5.13
19,112,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,37.62,5.13
20,115,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.21,3.53
21,118,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.21,3.53
22,122,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.6,5.01
23,123,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.6,5.01
24,114,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.6,5.01
25,127,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,49.51,4.9
26,129,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,36.45,6.15
27,137,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.52,1.59
28,138,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,19.88,1.94
29,139,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,13.45,3.3
30,97,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,15.2,2.28
31,147,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,26.9,3.65
32,151,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,26.9,3.65
33,172,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,94.92,11.51
34,166,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,14.42,1.71
35,177,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,17.54,1.71
36,180,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,32.94,3.65
37,194,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,35.28,6.15
38,195,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,19.3,2.73
39,184,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,25.92,2.62
40,199,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,25.92,2.62
41,202,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,27.87,2.73
42,205,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,28.07,2.96
43,211,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,30.8,4.78
44,170,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,37.03,5.81
45,217,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,75.43,10.71
46,221,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,34.5,3.08
47,241,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,14.42,3.3
48,250,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,22.61,4.33
49,251,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,22.61,4.33
50,261,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,59.45,9.23
51,229,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,130.01,7.18
52,272,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,19.3,8.09
53,274,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,21.25,12.08
54,275,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,14.23,11.16
55,280,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,6.24,1.82
56,290,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,21.25,3.76
57,289,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,21.64,2.39
58,303,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,12.28,3.87
59,299,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,12.28,3.87
60,307,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,32.36,2.51
61,320,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,23.19,3.42
62,322,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,69.0,9.0
63,328,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,28.46,5.58
64,350,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,14.03,2.28
65,356,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,9.16,2.39
66,355,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,9.16,2.39
67,359,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,13.45,3.42
68,360,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,13.45,3.42
69,362,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,14.81,2.05
70,376,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,19.88,8.66
71,383,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,18.91,3.19
72,386,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,10.92,1.94
73,392,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,13.25,1.71
74,398,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,17.15,3.76
75,399,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,16.76,2.62
76,411,-6.9222,107.6069,Tuesday,"12,9,2023",18:54:35,17.54,1.82
